new/used,name,milage,price,id,drive mode,fuel consumption,fuel type,accident history,clean title,one owner?,personal use,factory recall
,,,,1461424e-7a09-4c23-8d69-547dd727004a,,,,,,,,
Dodge Certified,2020 Dodge Durango GT Plus AWD," 34,664 mi.","$38,275",a6004941-f841-4717-80b9-572aefce3a99,–,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Dodge Certified,2021 Dodge Durango GT Plus AWD," 22,653 mi.","$42,620",fd6f42ad-1a64-429b-8e33-42893ba3483f,–,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Jeep Certified,2019 Jeep Cherokee Trailhawk 4x4," 72,217 mi.","$25,825",4a9e172a-050e-42de-bed5-859ed8d562e9,–,Four-wheel Drive ,Gasoline ,None reported,,No,Yes,
Jeep Certified,2020 Jeep Compass Limited 4X4," 30,174 mi.","$29,225",4aca0c7f-da12-4372-a946-5b5dc120e065,–,Four-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Jeep Certified,2021 Jeep Cherokee Latitude Lux 4X4," 30,951 mi.","$30,875",27390fe7-3f25-472f-9047-ff05ec773a21,–,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,Yes,Yes,
Jeep Certified,2021 Jeep Grand Cherokee Limited 4x4," 31,386 mi.","$38,225",bfe67286-143f-43e0-8efa-f91c00f224eb,–,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,No,Yes,
Jeep Certified,2020 Jeep Renegade Trailhawk 4X4," 10,268 mi.","$25,977",b01123e3-2aef-4ce5-9d31-18dc2fad5ed1,–,Four-wheel Drive ,Gasoline ,None reported,,No,Yes,
Used,2022 Ford Bronco Black Diamond Advanced," 26,850 mi.","$57,996",0d957383-6282-48cc-829a-0b07378cab37,,,,None reported,Yes,Yes,Yes,At least 1 open recall reported
Volvo Certified,2023 Volvo XC40 B5 AWD Plus Dark, 0 mi.,"$49,599",6ecba85d-f2ee-43be-9bd2-86dea9df4b61,–,All-wheel Drive ,Gasoline ,None reported,,No,No,
Ford Certified,2023 Ford F-350 XLT," 7,908 mi.","$72,999",cde7da03-23ba-442a-8bd7-44121307a1a1,–,– ,– ,None reported,Yes,Yes,Yes,
Ford Certified,2021 Ford F-350 LARIAT SUPER DUTY," 44,114 mi.","$71,999",1c64e21b-3b3a-421d-9d22-0a18ce01a622,–,– ,– ,None reported,Yes,No,Yes,At least 1 open recall reported
,,,,0fa1139c-8d67-44fe-839f-7d2f9aa89253,,,,,,,,
Used,2021 Ford F-250 Limited," 22,177 mi.","$77,995",578f53a4-b008-47fb-b42b-a446a1408c21,"0–0

",Four-wheel Drive ,Diesel ,None reported,Yes,Yes,No,
Used,2020 Ford F-250 XL," 28,365 mi.","$46,875",b2303e4d-3bce-4024-94a4-ceda0ac49d89,"0–0

",Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,
Used,2018 GMC Sierra 1500 SLT," 97,125 mi.","$32,885",f076c436-ecbc-4126-b769-c2f7cf0c4504,15–20,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,
